Country;Frequency Range;Allocations;Applications
"Sweden (PTS)";"0 - 0.009 MHz";"Övrigt";"#FFFFFF"
"Sweden (PTS)";"0.009 - 0.014 MHz";"Radionavigering för luftfart";"#00FF7F"
"Sweden (PTS)";"0.014 - 0.01995 MHz";"Sjöfartsradio";"#008080"
"Sweden (PTS)";"0.01995 - 0.02005 MHz";"Standardfrekvens och tidssignal";"#FF00FF"
"Sweden (PTS)";"0.02005 - 0.07 MHz";"Sjöfartsradio";"#008080"
"Sweden (PTS)";"0.07 - 0.1176 MHz";"Aktiva medicinska implantat (Undantag från tillståndsplikt, Not 1)";"#7676FF"
"Sweden (PTS)";"0.1176 - 0.126 MHz";"Sjöfartsradio";"#008080"
"Sweden (PTS)";"0.126 - 0.129 MHz";"Aktiva medicinska implantat (Undantag från tillståndsplikt, Not 1)";"#7676FF"
"Sweden (PTS)";"0.129 - 0.1357 MHz";"Sjöfartsradio";"#008080"
"Sweden (PTS)";"0.1357 - 0.1378 MHz";"Amatörradio (Undantag från tillståndsplikt)";"#FF0000"
"Sweden (PTS)";"0.1378 - 0.1485 MHz";"Sjöfartsradio";"#008080"
"Sweden (PTS)";"0.1485 - 0.2835 MHz";"Rundradio (GE75)";"#80C0C0"
"Sweden (PTS)";"0.2835 - 0.415 MHz";"Radiofyrar för luftfart";"#5D88FF"
"Sweden (PTS)";"0.30275 - 0.31525 MHz";"Flygfyr, Localizer - Såtenäs - 309 KHz";"#5D88FF"
"Sweden (PTS)";"0.30575 - 0.31825 MHz";"Fyr, Non-Directional Beacon - Karlsborg - 312 KHz";"#5D88FF"
"Sweden (PTS)";"0.31875 - 0.33125 MHz";"Flygfyr, Localizer - Trollhättan - 325 KHz";"#5D88FF"
"Sweden (PTS)";"0.33575 - 0.34825 MHz";"Landvetter - Flygfyr, Localizer - Göteborg - 342 KHz";"#5D88FF"
"Sweden (PTS)";"0.36275 - 0.37525 MHz";"Landvetter - Flygfyr, Localizer - Landvetter - 369 KHz - NDB associerad med bana 21";"#5D88FF"
"Sweden (PTS)";"0.39275 - 0.40525 MHz";"Flygfyr, Localizer - Trollhättan - 399 KHz";"#5D88FF"
"Sweden (PTS)";"0.40275 - 0.41525 MHz";"Flygfyr, Localizer - Såtenäs - 409 KHz";"#5D88FF"
"Sweden (PTS)";"0.415 - 0.435 MHz";"Radiofyrar för luftfart (GE85M)";"#5D88FF"
"Sweden (PTS)";"0.435 - 0.495 MHz";"Sjöfartsradio (GE85M, RR AP15)";"#008080"
"Sweden (PTS)";"0.495 - 0.5265 MHz";"Sjöfartsradio (RR AP15, Nöd- och säkerhetstrafik)";"#FF0091"
"Sweden (PTS)";"0.5265 - 1.6065 MHz";"Rundradio (GE75)";"#80C0C0"
"Sweden (PTS)";"1.6065 - 1.625 MHz";"Sjöfartsradio (GE85M)";"#008080"
"Sweden (PTS)";"1.625 - 1.635 MHz";"Tillämpningar för järnväg (Undantag från tillståndsplikt)";"#FFD500"
"Sweden (PTS)";"1.635 - 1.8 MHz";"Sjöfartsradio (GE85M)";"#008080"
"Sweden (PTS)";"1.8 - 1.81 MHz";"Tillämpningar för järnväg (Undantag från tillståndsplikt)";"#FFD500"
"Sweden (PTS)";"1.81 - 2 MHz";"Amatörradio (Undantag från tillståndsplikt)";"#FF0000"
"Sweden (PTS)";"2 - 2.045 MHz";"Sjöfartsradio";"#008080"
"Sweden (PTS)";"2.045 - 2.16 MHz";"Sjöfartsradio (GE85M)";"#008080"
"Sweden (PTS)";"2.16 - 2.17 MHz";"Tillämpningar för järnväg (Undantag från tillståndsplikt)";"#FFD500"
"Sweden (PTS)";"2.17 - 2.1735 MHz";"Sjöfartsradio";"#008080"
"Sweden (PTS)";"2.1735 - 2.1905 MHz";"Sjöfartsradio (RR AP15, Nöd- och säkerhetstrafik)";"#FF0091"
"Sweden (PTS)";"2.1905 - 2.498 MHz";"Sjöfartsradio";"#008080"
"Sweden (PTS)";"2.498 - 2.502 MHz";"Tillämpningar för järnväg (Undantag från tillståndsplikt)";"#FFD500"
"Sweden (PTS)";"2.502 - 2.85 MHz";"Sjöfartsradio";"#008080"
"Sweden (PTS)";"2.85 - 3.025 MHz";"Luftfartsradio (RR AP15, Nöd- och säkerhetstrafik)";"#FF0091"
"Sweden (PTS)";"3.025 - 3.155 MHz";"Luftfartsradio (RR AP26)";"#5D88FF"
"Sweden (PTS)";"3.155 - 3.4 MHz";"Sjöfartsradio";"#008080"
"Sweden (PTS)";"3.4 - 3.5 MHz";"Tillämpningar för järnväg (Undantag från tillståndsplikt)";"#FFD500"
