Country;Frequency Range;Allocations;Applications
"Wi-Fi 2.4 GHz";"2401 - 2423 MHz";"Wi-Fi ch 1";"#2EC56B"
"Wi-Fi 2.4 GHz";"2426 - 2448 MHz";"Wi-Fi ch 6";"#2EC56B"
"Wi-Fi 2.4 GHz";"2451 - 2473 MHz";"Wi-Fi ch 11";"#2EC56B"
"Wi-Fi 5 GHz UNII-1";"5170 - 5190 MHz";"Wi-Fi ch 36";"#2E8BC5"
"Wi-Fi 5 GHz UNII-1";"5190 - 5210 MHz";"Wi-Fi ch 40";"#2E8BC5"
"Wi-Fi 5 GHz UNII-1";"5210 - 5230 MHz";"Wi-Fi ch 44";"#2E8BC5"
"Wi-Fi 5 GHz UNII-1";"5230 - 5250 MHz";"Wi-Fi ch 48";"#2E8BC5"
"Wi-Fi 5 GHz UNII-2A (DFS)";"5250 - 5270 MHz";"Wi-Fi ch 52";"#C58A2E"
"Wi-Fi 5 GHz UNII-2A (DFS)";"5270 - 5290 MHz";"Wi-Fi ch 56";"#C58A2E"
"Wi-Fi 5 GHz UNII-2A (DFS)";"5290 - 5310 MHz";"Wi-Fi ch 60";"#C58A2E"
"Wi-Fi 5 GHz UNII-2A (DFS)";"5310 - 5330 MHz";"Wi-Fi ch 64";"#C58A2E"
"Wi-Fi 5 GHz UNII-2C (DFS)";"5490 - 5510 MHz";"Wi-Fi ch 100";"#C58A2E"
"Wi-Fi 5 GHz UNII-2C (DFS)";"5510 - 5530 MHz";"Wi-Fi ch 104";"#C58A2E"
"Wi-Fi 5 GHz UNII-2C (DFS)";"5530 - 5550 MHz";"Wi-Fi ch 108";"#C58A2E"
"Wi-Fi 5 GHz UNII-2C (DFS)";"5550 - 5570 MHz";"Wi-Fi ch 112";"#C58A2E"
"Wi-Fi 5 GHz UNII-2C (DFS)";"5570 - 5590 MHz";"Wi-Fi ch 116";"#C58A2E"
"Wi-Fi 5 GHz UNII-2C (DFS)";"5590 - 5610 MHz";"Wi-Fi ch 120";"#C58A2E"
"Wi-Fi 5 GHz UNII-2C (DFS)";"5610 - 5630 MHz";"Wi-Fi ch 124";"#C58A2E"
"Wi-Fi 5 GHz UNII-2C (DFS)";"5630 - 5650 MHz";"Wi-Fi ch 128";"#C58A2E"
"Wi-Fi 5 GHz UNII-2C (DFS)";"5650 - 5670 MHz";"Wi-Fi ch 132";"#C58A2E"
"Wi-Fi 5 GHz UNII-2C (DFS)";"5670 - 5690 MHz";"Wi-Fi ch 136";"#C58A2E"
"Wi-Fi 5 GHz UNII-2C (DFS)";"5690 - 5710 MHz";"Wi-Fi ch 140";"#C58A2E"
"Wi-Fi 5 GHz UNII-2C (DFS)";"5710 - 5730 MHz";"Wi-Fi ch 144";"#C58A2E"
"Wi-Fi 5 GHz UNII-3";"5735 - 5755 MHz";"Wi-Fi ch 149";"#2E8BC5"
"Wi-Fi 5 GHz UNII-3";"5755 - 5775 MHz";"Wi-Fi ch 153";"#2E8BC5"
"Wi-Fi 5 GHz UNII-3";"5775 - 5795 MHz";"Wi-Fi ch 157";"#2E8BC5"
"Wi-Fi 5 GHz UNII-3";"5795 - 5815 MHz";"Wi-Fi ch 161";"#2E8BC5"
"Wi-Fi 5 GHz UNII-3";"5815 - 5835 MHz";"Wi-Fi ch 165";"#2E8BC5"
"Wi-Fi 6 GHz (PSC)";"5965 - 5985 MHz";"Wi-Fi 6E ch 5";"#8A4FBD"
"Wi-Fi 6 GHz (PSC)";"6045 - 6065 MHz";"Wi-Fi 6E ch 21";"#8A4FBD"
"Wi-Fi 6 GHz (PSC)";"6125 - 6145 MHz";"Wi-Fi 6E ch 37";"#8A4FBD"
"Wi-Fi 6 GHz (PSC)";"6205 - 6225 MHz";"Wi-Fi 6E ch 53";"#8A4FBD"
"Wi-Fi 6 GHz (PSC)";"6285 - 6305 MHz";"Wi-Fi 6E ch 69";"#8A4FBD"
"Wi-Fi 6 GHz (PSC)";"6365 - 6385 MHz";"Wi-Fi 6E ch 85";"#8A4FBD"
"Wi-Fi 6 GHz (PSC)";"6445 - 6465 MHz";"Wi-Fi 6E ch 101";"#8A4FBD"
"Wi-Fi 6 GHz (PSC)";"6525 - 6545 MHz";"Wi-Fi 6E ch 117";"#8A4FBD"
"Wi-Fi 6 GHz (PSC)";"6605 - 6625 MHz";"Wi-Fi 6E ch 133";"#8A4FBD"
"Wi-Fi 6 GHz (PSC)";"6685 - 6705 MHz";"Wi-Fi 6E ch 149";"#8A4FBD"
"Wi-Fi 6 GHz (PSC)";"6765 - 6785 MHz";"Wi-Fi 6E ch 165";"#8A4FBD"
"Wi-Fi 6 GHz (PSC)";"6845 - 6865 MHz";"Wi-Fi 6E ch 181";"#8A4FBD"
"Wi-Fi 6 GHz (PSC)";"6925 - 6945 MHz";"Wi-Fi 6E ch 197";"#8A4FBD"
"Wi-Fi 6 GHz (PSC)";"7005 - 7025 MHz";"Wi-Fi 6E ch 213";"#8A4FBD"
"Wi-Fi 6 GHz (PSC)";"7085 - 7105 MHz";"Wi-Fi 6E ch 229";"#8A4FBD"
