Country;Frequency Range;Allocations;Applications
"IEEE 802.15.4 (Zigbee)";"2404 - 2406 MHz";"ZB ch11";"#00B4B4"
"IEEE 802.15.4 (Zigbee)";"2409 - 2411 MHz";"ZB ch12";"#00B4B4"
"IEEE 802.15.4 (Zigbee)";"2414 - 2416 MHz";"ZB ch13";"#00B4B4"
"IEEE 802.15.4 (Zigbee)";"2419 - 2421 MHz";"ZB ch14";"#00B4B4"
"IEEE 802.15.4 (Zigbee)";"2424 - 2426 MHz";"ZB ch15";"#00B4B4"
"IEEE 802.15.4 (Zigbee)";"2429 - 2431 MHz";"ZB ch16";"#00B4B4"
"IEEE 802.15.4 (Zigbee)";"2434 - 2436 MHz";"ZB ch17";"#00B4B4"
"IEEE 802.15.4 (Zigbee)";"2439 - 2441 MHz";"ZB ch18";"#00B4B4"
"IEEE 802.15.4 (Zigbee)";"2444 - 2446 MHz";"ZB ch19";"#00B4B4"
"IEEE 802.15.4 (Zigbee)";"2449 - 2451 MHz";"ZB ch20";"#00B4B4"
"IEEE 802.15.4 (Zigbee)";"2454 - 2456 MHz";"ZB ch21";"#00B4B4"
"IEEE 802.15.4 (Zigbee)";"2459 - 2461 MHz";"ZB ch22";"#00B4B4"
"IEEE 802.15.4 (Zigbee)";"2464 - 2466 MHz";"ZB ch23";"#00B4B4"
"IEEE 802.15.4 (Zigbee)";"2469 - 2471 MHz";"ZB ch24";"#00B4B4"
"IEEE 802.15.4 (Zigbee)";"2474 - 2476 MHz";"ZB ch25";"#00B4B4"
"IEEE 802.15.4 (Zigbee)";"2479 - 2481 MHz";"ZB ch26";"#00B4B4"
